,Tweets,Numeric Labels,Label
0,احساس می‌کنم غایت زندگی من اینه که یکی یروز بفهمه دارم راجع به چی حرف می‌زنم,4,Intense Emotions
1,"ای بابا نصیب هرکسی نمیشه که، فقط دعای خیر پدر مادر :))))))))",0,Happy
2,با من مثل بقیه رفتار نکن آشغال,2,Angry
3,من علاقه شدیدی به شنیدن «بغلم کن» از طرف اونی که «می‌خوام بغلش کنم» دارم.,4,Intense Emotions
4,چیز کیک گرم و نرم میخوام.,0,Happy
5,ها موافقم. همشو موافقم.,0,Happy
6,خرداد. 🪷🪞 ما یه روزی بالاخره صاحبِ این خونه می‌شیم.,4,Intense Emotions
7,دلم می‌خواست می‌تونستم کاری برای بچه‌های دانشگاه هنر کنم... ولی آخه چه کاری از دستم برمیاد جز نشستن و غصه‌خوردن؟,1,Sad
8,حیف شد.,1,Sad
9,"کاش میشد از آنهایی که دنیا را ترک کرده اند میپرسیدیم، آیا اندوهتان پایان گرفت؟",1,Sad
10,کوچک تر بودیم 🤏🏻,0,Happy
11,جات خیلی خالی بود🤍,4,Intense Emotions
12,خیلی ممنون لطف داری 🤠,0,Happy
13,حق کیوت 🥹,4,Intense Emotions
14,حتی تصور اینکه نباشی هم سخته .,1,Sad
15,هدیه‌ی مردم شریفمون برای عزیزدل ایران:,4,Intense Emotions
16,آب بسیاری از مناطق تهران قطع است.,3,Neutral
17,واقعا عقل ندارید راحتم نیستید.,1,Sad
18,یه سوال رندوم بپرسید منم یه سوال رندوم میپرسم,3,Neutral
19,"مغزم بیداره، چشمام خوابه",3,Neutral
20,این بچه‌های میم‌شیمی 98 همشون از دم کصشرن. تا الان آدم جالبی توشون ندیدم. اگه دیدید معرفی کنید,2,Angry
21,تبلیغات اینستا برای من داره به جاهای خطرناکی میرسه. زاکربرگ چیکار داری میکنی با دیتاهای من؟,1,Sad
22,"در ستایش انعکاس، هلند.",0,Happy
23,الان اومد :)))),0,Happy
24,"تو به زیبایی مهتاب، تو به آرامش خواب، چشم من تشنه‌ی پرسش، روی تو تنها جواب",4,Intense Emotions
25,"دنبال خونه گشتن، خر است :)",1,Sad
26,با اقتدار بردم :),0,Happy
27,آدمی به صحبت زنده‌ است,3,Neutral
28,این قشنگ بود.,0,Happy
29,"چه رفقایی اسماعیل ، چه رفقایی 😍😍",4,Intense Emotions
30,به اندازه کافی ازم متنفر نیستید,1,Sad
31,خدایا شکرت بابت زن‌ها😭😭😭😭😭😭😭😭😭😭😭,0,Happy
32,یادم نمیاد آخرین بار کی با یکی ساعت ها حرف زدم و از این جهت ناراحتم.,1,Sad
33,از هر گونه دراما خسته‌ام. دلم غار می‌خواد. یا یه جزیره‌ی کوچیک وسط اقیانوس.,1,Sad
34,جواب‌های زمزم خیلی خوبه😁😂 راضیم ازتون🤭😌,0,Happy
35,اقا این ورزش کردن و هورنی شدن ربطی به هم ندارن؟ چون اوضاع نگران کنندست😣,1,Sad
36,انقدر کله‌ام از دست آدما خرابه که باید کلی خودداری کنم یهو به کسی نرینم :)),1,Sad
37,بعضی وقتا حس میکنم خیلی همه چیز رو اورتینک میکنم و برام ترسناکه…,1,Sad
38,پول واقعا خوبه :٫),0,Happy
39,"خب دیگه عیدم شد، بریم بخوابیم :))",0,Happy
